מוצר,מחיר
אגוז מלבר - 8 ליטר,64
אנונה - 8 ליטר,81
אגס - 8 ליטר,64
אננס - 8 ליטר,38
אפרסמון - 8 ליטר,64
אפרסק- 8 ליטר,64
גודגדן - 8 ליטר,81
גויאבה ננסית - (מיכל 8 ליטר),64
שתיל גויאבה תותית - 8 ליטר,64
גפן - 8 ליטר,64
דובדבן ריו גרנד - 8,68
שתילי הדרים - 8 ליטר,55
וומפי מורכב - 8 ליטר,81
שתיל עץ זית - 8 ליטר,51
חבוש- 8 ליטר,64
חרוב נקבה - 8 ליטר,68
לונגן מורכב- 8 ליטר,89
מנגו - 8 ליטר,111
מקדמיה - 8 ליטר,72
משמש \'רעננה\' - 8 ל,64
נקטרינה - 8 ליטר,64
ספודילה מורכב - 8 לי,81
שתיל ספוטה לבנה - 8 ליטר,68
עץ הצימוקים היפני -,55
פטל בלי קוצים - שתיל 8 ליטר,60
שתיל עץ אבוקדו - 8 ליטר,81
שתיל בננה,60
פיטנגו - שתיל למכירה (מיכל 8 ל'),77
פסיפלורה - 8 ליטר,43
אבוקדו - 25 ליטר,149
פיטאיה מתוקה,38
שתיל ספוטה שחורה - 8 ליטר,60
פיגואה מורכב,72
ליצי - 8 ליטר,128
