שם, מחיר, קוד
משו גבינה טבעונית מלוחה, 21.1, 10
מעדן מדברי שזיף, 24.6, 10
טחינה, 28, 10
גרנולה רפאלס- מוזלי , 30.6, 10
חלב שקדים עם קוקוס, 23.7, 10
מעדן מדברי קוקוס, 24.6, 10
טופו הרדוף, 4.9, 10
שעועית מש - ארוז 500 ג, 13.2, 10
אגוז מלך, 7.9, 10
מקדמיה קלוף, 15.5, 10
קשיו, 9.5, 10
חמאת בוטנים, 29.9, 10
ביצי חופש - 12, 20, 10
חלב שקדים, 21.7, 10
מעדן מדברי משמש, 24.6, 10
גרנולה מועשרת, 23.5, 10
גרנולה קינמון, 23.5, 10
אגוז ברזיל, 9.3, 10
מעדן מדברי תמר, 24.6, 10
גרנולה רפאלס- פרות י, 17.7, 10
גוג\'י ברי יבש - 100, 8.8, 10
חמוציות (לא אורגני), 4.4, 10
אטריות אורגניות מאור, 18.3, 10
קמח כוסמין, 15.8, 10
אורז בסמטי לבן, 16.3, 10
מוזלי, 4.9, 10
גרנולה רפאלס - שוקול, 17.7, 10
חלב שקדים עם שוקולד, 23.7, 10
גרנולה רפאלס- זרעים , 17.7, 10
משקה אורז ושקדים, 13.9, 10
אורז בסמטי מלא אורגני תבואות 500 גרם, 13.9, 10
משו גבינה טבעונית פיקנטי, 21.1, 10
משו גבינה טבעונית מלוחה מופחת שומן, 21.1, 10
משו גבינה טבעונית מלוחה עשבי תיבול, 21.1, 10
לחם ללא גלוטן וללא סוכר, 22.7, 10
קוקוס טבעי, 9.6, 10
אורז אדום מלא, 16.3, 10
אורז בסמטי מלא, 18.6, 10
אורז פרא מעורב, 16.6, 10
נוזל ניקוי רב תכליתי, 14.9, 10
מיפל - 1 ק\"ג, 111.9, 10
חומוס - ארוז 500 ג, 13.3, 10
שקד, 7.9, 10
חומץ תפוחים אורגני, 18.5, 10
חרדל גרגרים, 14.8, 10
פלפל שחור טחון, 14.1, 10
חרדל, 12.9, 10
שיבולת שועל, 6.9, 10
מנקה חלונות אקולוגי, 12.9, 10
סירופ אגבה 660 ג dulsweet, 33.9, 10
פטל שחור 300 ג מאמא מרי, 15.9, 10
מסיר שומנים אקולוגי, 15.5, 10
לחמניות כוסמין, 13.9, 10
טחינה הרדוף 400 ג, 15.9, 10
מולסה מתוקה \"מורגנה\" 450 ג, 47.4, 10
לאבנה שקדים, 21.9, 10
לאבנה קשיו, 21.9, 10
שמן זית - 750 סמ\"ק, 39.9, 10
קוואקר דק 1 קג מנחת הארץ, 16.5, 10
קוואקר דק 500 ג תבואות, 9.9, 10
רימוניץ 1 ליטר, 28.5, 10
אוכמניות אדומות 300 ג מאמא מרי, 19.9, 10
פטל אדום 300 ג מאמא מרי, 21.2, 10
חמוציות 300 ג מאמא מרי, 12.9, 10
מצות כוסמין 300 ג השדה , 26.9, 10
דובדבנים 300 ג מאמא מרי, 12.9, 10
חמאת שקדים השקד 350 ג, 35.7, 10
דמדמניות אדומות 300 ג מאמא מרי, 12.9, 10
אוכמניות כחולות 300 ג מאמא מרי, 20.9, 10
טחינא, 39.9, 10
פתיתי קוקוס אורגני - 200 ג, 26.9, 10
קוסקוס אורגני, 12.9, 10
מזון מלכות, 94, 10
מי אגוז קוקוס 150 מל AROY-D , 6.9, 10
שמן קוקוס נטורפוד, 55, 10
סלט נבטים, 12.9, 10
חלב אורז VITARIZ ליטר 1, 13.5, 10
דומדמניות שחורות 300 ג מאמא מרי, 12.9, 10
צהובה טבעונית 200 ג VEGA, 24.9, 10
צימוקים 100 ג, 5.6, 10
וופל חרובים 200 ג השדה, 13, 10
צנימים 300 ג מונבטים, 27.9, 10
נוזל לניקוי כלים 1 ל Ecofriend, 12.9, 10
ריבת fiordifrutta משקל 250 ג, 19.9, 10
אסאי קפוא 100 ג rebar, 9.9, 10
מיקס פירות יער 300 ג מאמא מרי, 12.9, 10
גבינת עירית ובצל ירוק, 21.9, 10
גבינת שום שמיר, 21.9, 10
גבינת זיתים, 23.5, 10
חמאה טבעונית, 23.5, 10
פטה שקדים אפויה, 23.5, 10
מוצרלה קשיו, 21.9, 10
סבון ידיים אקולאב, 22.9, 10
טופו קדיתא, 19.9, 10
קינואה 500 גרם, 14.9, 10
כוסמת 500 גרם, 10.5, 10
אמרנט 500 גרם, 18.2, 10
עדשים אדומות 500 גרם, 13.3, 10
משקה על בסיס שקדים Almond Breeze , 23.5, 10
זיתים ברנע, 17.6, 10
צנוברים 010 ג, 18.4, 10
ממרח שומשום בטעם חלבה B&D משקל 350 ג, 14.9, 10
סילאן נאות סמדר 710ג, 38.9, 10
משקה סויה בטעם שוקולד alpro, 15.2, 10
משקה אורז בתוספת קוקוס הרדוף, 12.3, 10
קינואה רויאל הרדוף 1 קג, 31.3, 10
גרגירי חומוס הרדוף 500 ג, 16.9, 10
דוחן הרדוף 500 ג, 10.3, 10
גריסי פנינה הרדוף 500 ג, 11.5, 10
עדשים ירוקות הרדוף 500 ג, 14.9, 10
כוסמת הרדוף 500 ג, 10.5, 10
שומשום מלא הרדוף 300 ג, 10.9, 10
פולנטה גרעיני תירס אורגנים גרוסים הרדוף , 11.9, 10
פופקורן  גרעיני תירס להכנת פופקורן הרדוף, 12.7, 10
קינואה הרדוף 500 ג, 17.5, 10
קינואה אדומה הרדוף 500 ג, 22.5, 10
קינואה שחורה הרדוף 500 ג, 23.3, 10
קינואה טריקולור קינואה מעורבת הרדוף 500 , 20.5, 10
עדשים צהובות חצויות הרדוף 500 ג, 14.5, 10
עדשים אדומות הרדוף 500 ג, 14.4, 10
עדשים חומות הרדוף 500 ג, 11.2, 10
שעועית מש הרדוף 500 ג, 14.5, 10
שעועית אזוקי הרדוף 500 ג, 13.3, 10
שעועית לבנה הרדוף 500 ג, 11.5, 10
שעועית אורד מלאה הרדוף 500 ג, 15.9, 10
שעועית אדומה הרדוף 500 ג, 16.2, 10
ברוגול הרדוף 500 ג, 9.7, 10
גרעיני חמניה קלופים הרדוף 300 ג, 11.9, 10
גרעיני דלעת קלופים הרדוף 300 ג, 21.9, 10
זרעי פשתן הרדוף 300 ג, 7.6, 10
זרעי פשתן זהוב הרדוף 300 ג, 7.5, 10
אורז חום מלא עגול הרדוף 500 ג, 12.9, 10
אורז לבן ארוך הרדוף 500 ג, 14.5, 10
אורז חום מלא הרדוף 500 ג, 12.8, 10
אורז בסמטי לבן הרדוף 500 ג, 16.5, 10
אורז חום מלא עגול הרדוף 1 קג, 21.2, 10
אורז חום מלא ארוך הרדוף 1 קג, 21.2, 10
אורז בסמטי חום הרדוף 500 ג, 14.9, 10
תערובת קטניות אורגניות למרק תבואות 500 ג, 16.5, 10
אורז בשמתי מלא תבואות 1 קג, 18.8, 10
קינואה רויאל תבואות 1 קג, 26.5, 10
קינואה רויאל תבואות 500 ג, 14.9, 10
קינואה טריו תבואות 500 ג, 20.9, 10
קינואה אדומה תבואות 500 ג, 19.9, 10
גריסי פנינה תבואות 500 ג, 9.9, 10
קינואה שחורה תבואות 500 ג, 25.6, 10
מגדרה אורגנית קינואה תבואות 500 ג, 19.8, 10
מגדרה תבואות 500 ג, 16.5, 10
גרעיני דלעת קלופים תבואות 300 ג, 20.6, 10
כוסמת תבואות 500 ג, 9.9, 10
שעועית שחורה תבואות 500 ג, 11.9, 10
אורז בשמתי מלא תבואות 500 ג, 11.9, 10
עדשים שחורות תבואות 500 ג, 17.5, 10
עדשים חומות תבואות 500 ג, 13.5, 10
שעועית מנומרת תבואות 500 ג, 12.4, 10
עדשים אדומות תבואות 500 ג, 13.3, 10
שעועיות תבואות 500 ג, 14.4, 10
שעועית לבנה תבואות 500 ג, 11.6, 10
עדשים ירוקות תבואות 500 ג, 14.9, 10
שעועית מש תבואות 500 ג, 14.1, 10
גריסי שיבולת שועל תבואות 500 ג, 11.5, 10
חיטה מלאה תבואות 1 קג, 12.9, 10
אורז בשמתי לבן תבואות 1 קג, 18.9, 10
אורז פרא מעורב תבואות 1 קג, 16.8, 10
אורז אדום אסיאתי תבואות 1 קג, 18.5, 10
אורז עגול מלא תבואות 500 ג, 11.2, 10
אורז פרא מעורב תבואות 500 ג, 18.9, 10
אורז אדום תבואות 500 ג, 17.9, 10
