"מחיר לק""ג",סוג קמח
7,קמח חיטה מלא אורגני
7,קמח חיטה 70% אורגני
7,סולת חיטה אורגני
12.5,כוסמין מלא אורגני
9,כוסמין מלא לא אורגני
12.5,סולת כוסמין אורגני
14.5,כוסמין 70% אורגני
10,כוסמין 70% לא אורגני
10,קמח שיפון אורגני
8,קמח דורום (לא אורגני)
14,קמח תירס אורגני
14,קמח שיבולת שועל אורגני
16,קמח אורז אורגני
16,קמח שעורה אורגני
13,קמח כוסמת אורגני
18,קמח חומוס אורגני
16,קמח דוחן אורגני
21,קמח עדשים ירוקות אורגני
17,קמח עדשים אדומות אורגני
15,קמח טף (לא אורגני)
21,קמח קינואה אורגני
5,זרעי חיטה אורגניים
10,זרעי כוסמין אורגניים
12,זרעי שיבולת שועל אורגניים
4,"סובין חיטה אורגני 500, גר'"
6,"סובין כוסמין אורגני 500, גר'"
20,דבש טבעי לא מחומם 500 גר'
38,"דבש טבעי לא מחומם 1 ק""ג"
53,"דבש טבעי לא מחומם 1.5 ק""ג"
8,סוכר קנים אורגני
10,קוואקר גס/דק
"7 לק""ג","שק קוואקר גס 25 ק""ג שלם"
