מחיר,שם
38,אננס 8L
43,פסיפלורה 8L
47,תאנה 8L
51,זית 8L
55,פג'ויה 8L
55,הדרים 8L
60,בננה 8L
60,מקדמיה 8L
64,גויאבה 8L
64,גויאבה 8L
64,גויאבה תותית 8L
64,פיטנגו 8L
64,אגוז מלבר 8L
64,גפן 8L
64,שקד 8L
68,שסק 8L
68,אגוז מלך 8L
68,חרוב נקבה 8L
72,פג'ויה 8L
72,מקדמיה 8L
77,פפאיה 8L
77,פיטנגו 8L
81,אבוקדו 8L
81,אנונה 8L
81,קיווי 8L
81,פקאן 8L
89,לונגן 8L
111,מנגו 8L
111,פג'ויה 25L
119,תאנה 25L
123,זית 25L
128,ליצ'י 8L
128,פיטנגו 25L
128,מקדמיה 25L
132,גויאבה 25L
132,גויאבה 25L
132,גויאבה תותית 25L
136,פפאיה 25L
81,אסרולה 8L
68,גוג'י ברי 8L
98,ג'ק פרוט 8L
72,גרגר פנמה 8L
55,דובדבן היהודים 8L
68,דובדבן ריו גרנד 8L
55,הל 8L
81,וומפי 8L
81,חמאת בוטנים 8L
60,מורינגה 8L
68,ספוטה לבנה 8L
60,ספוטה שחורה 8L
81,ספודילה 8L
55,עץ הצימוקים היפני 8L
38,פיטאיה מתוקה 8L
81,פלסה 8L
81,צ'ה סיני 8L
0,קוויאר ליים 8L
68,קפה ערביקה 8L
43, 8L
72,קינמון 8L
72,קניסטל 8L
64,שעועית הגלידה 8L
68,תמרהינדי 8L
60,תפוח הורד 8L
81,תפוח הכוכב 8L
81,תפוח ורוד 8L
119,מגוון זנים 8L
72,אגס 8L
72,אפרסמון 8L
72,אפרסק 8L
81,גודגדן 8L
72,חבוש 8L
72,משמש 8L
72,נקטרינה 8L
60,פטל / אוסנה 8L
64,שזיף 8L
72,שיזף סיני 8L
72,תות עץ 8L
77,תות  ארוך 8L
68,גוג'י ברי 8L
98,ג'ק פרוט 8L
72,גרגר פנמה 8L
55,דובדבן היהודים 8L
68,דובדבן ריו גרנד 8L
55,הל 8L
81,וומפי 8L
81,חמאת בוטנים 8L
60,מורינגה 8L
68,ספוטה לבנה 8L
60,ספוטה שחורה 8L
81,ספודילה 8L
55,עץ הצימוקים היפני 8L
38,פיטאיה מתוקה 8L
81,פלסה 8L
81,צ'ה סיני 8L
0,קוויאר ליים 8L
68,קפה ערביקה 8L
43, 8L
72,קינמון 8L
72,קניסטל 8L
64,שעועית הגלידה 8L
68,תמרהינדי 8L
60,תפוח הורד 8L
81,תפוח הכוכב 8L
81,תפוח ורוד 8L
119,מגוון זנים 8L
72,אגס 8L
72,אפרסמון 8L
72,אפרסק 8L
81,גודגדן 8L
72,חבוש 8L
72,משמש 8L
72,נקטרינה 8L
60,פטל / אוסנה 8L
64,שזיף 8L
72,שיזף סיני 8L
72,תות עץ 8L
77,תות  ארוך 8L
