"תאור פריטהערהמחירתאור פריטהערהמחיר",,,,,
5.90,,סלק,5.90,200 גרם,ארטישוק ירושלמי יחידה
5.80,מארז 12 יח .' יבוא,סלק מקולף ומבושל,3.50,,אשכולית אדומה
4.20,,סלרי עלים,4.50,מארז 12 יח',בזיליקום-יחידה
7.90,,סלרי שורש,38.00,,בזיליקום-קרטון
7.90,,עגבנייה אשכולות,6.40,,בטטה
7.90,,עלי בייבי,7.90,,בננה
4.50,,עלי מנגולד ירוק,4.40,,בצל יבש
4.50,חדש,עלי רוקט,5.80,יבוא. כ 10- קג,בצל יבש(שק)
3.90,,פומלית,6.90,חדש!! מהערבה,בצל יבש-אדום
29.00,,פטרוזיליה - קרטון,4.50,,בצל ירוק
3.50,מארז 12 יח',פטרוזיליה יחידה,6.90,,ברוקולי
8.90,חדש,פטרוזיליה שורש,4.90,חדש וטעים!!,גזר-אריזה
14.50,מלך היער 250 גרם,פטריה ארינגי-אריזה,6.90,כ  250- גרם,ג'ינג'ר אורגני -יחידה
14.90,200 גרם יפה,פטרית שיטאקי-אריזה,17.90,חדש! יפה מאד,ג'ינג'ר אורגני -משקל
10.90,,פלפל אדום,8.90,חדשה!!,דלעת
4.90,,פלפל חריף - יחידה,12.90,,דלעת יפנית
6.20,200 גרם,פלפל סוויט בייט-יחידה,17.90,,דלעת ערמונים
21.90,כ  600- גרם,פסיפלורה -יחידה,3.00,,חסה
4.50,,פקצ'וי,5.90,,חסה לבבות
5.90,,צנונית -יחידה,7.90,,חסה מיקס
8.90,,קולרבי,6.40,,חסה סלנובה שני צבעים
4.50,,קייל,4.90,,חסה עגולה
12.90,,קישוא בהיר,9.90,,חציל
12.90,,קישוא כהה,4.50,,טימין (קורנית-)יחידה
7.40,אור,קלמנטינה,3.50,מארז 12 יח',כוסברה-יחידה
4.50,,רוזמרין-יחידה,29.00,,כוסברה-קרטון
6.80,,שום ירוק,13.50,200 גרם ביחידה,כורכום שורש
5.90,,שומר,7.90,,כרוב אדום
3.50,מארז 12 יח',שמיר יחידה,3.20,,כרוב לבן
29.00,,שמיר-קרטון,9.90,,כרובית
11.90,עגול,שרי אשכולות,7.90,,כרובית אלמוגים -משקל
7.90,,שרי ליקופן אריזה,10.90,,לוף(כרישה)
7.90,,שרי תמר צהוב -אריזה,4.50,,לימון
7.90,,שרי תמר-אריזה,9.90,,מלפפון
9.90,כ  250- גרם,תות שדה(אריזה),7.90,,מלפפון בייבי
25.90,"מארז 1 ק""ג",תמר מגהול- איכותי,5.40,,מלפפון הולנדי - תפזורת
4.50,שמוטי,תפוז,7.40,במשקל,מלפפון הולנדי -ארוז
6.50,,תפוח אדמה אדום,4.50,,מרווה-יחידה
4.90,כ  20- קג,תפוח אדמה(שק),4.50,מארז 12 יח',נענע-יחידה
13.90,יבוא. כ  18- קג,תפוח עץ גאלה,30.00,,נענע-קרטון
