"הערות",,מחיר,תיאור,קוד פריט,"#"
"",,8.90 ₪,**לחם כוסמין טרי,8240516,1
"",,8.90 ₪,**לחם שיפון טרי,8240515,2
"",,5.90 ₪,**פיתה כוסמין,8240502,3
"",,15.76 ₪,*ביצי חופש אורגניות,8250500,4
"",,20.90 ₪,*תמר חלאווי 1 קג,8255502,5
"",,24.90 ₪,*תמר מגהול 1 קג,8256506,6
"",,22.90 ₪,*תמר מגהול 2 קג,8256509,7
"",,124.00 ₪,"*תמר מגהול 5 ק""ג - איכות ייצוא",8256512,8
"",,12.90 ₪,*תמר מגהול אורגני 500 גרם(16),8256503,9
"",,14.90 ₪,אבוקדו האס אורגני,8130503,10
"",מוגבל,9.40 ₪,אבוקדו פוארטה אורגני - חדש!,8130505,11
"",,5.90 ₪,אבטיח  אורגני,8131000,12
"",,20.90 ₪,אספרגוס אורגני  250) גר(,8230000,13
"",מוגבל,10.90 ₪,אפונה סינית אורגנית סלסלה,8230001,14
"",,12.90 ₪,ארטישוק אורגני - חדש!,8130003,15
"",,7.90 ₪,ארטישוק ירושלמי  300- גרם,8230002,16
"",,4.80 ₪,אשכולית אדומהיצוא  EL,8131005,17
"",מוגבל,38.90 ₪,בזיליקום-קרטון1)ק''ג(,8231505,18
"",מוגבל,4.90 ₪,בזיליקום יחידה,8230505,19
"",,7.75 ₪,בטטה  זן בווגרט,8130010,20
"",,5.40 ₪,בצל אדום - טרי חדש!,8130510,21
"",,4.90 ₪,"בצל יבש  ""אורי -"" חדש מהערבה",8130513,22
"",,3.90 ₪,בצל ירוק אורגני ארוז,8230511,23
"",מוגבל,10.90 ₪,ברוקולי אורגני - חדש,8130012,24
"",,3.25 ₪,גזר עלומים  אורגני -  חדש וטרי!,8130021,25
"",,10.90 ₪,דלורית אורגנית,8130029,26
"",,6.90 ₪,דלעת יפנית חדשה יפה!!!,8130033,27
"",,3.90 ₪,זעתר יחידה,8131510,28
"",,2.90 ₪,חסה ערבית אורגנית,8230523,29
"",,7.40 ₪,חציל אורגני,8130045,30
"",,26.90 ₪,"כוסברה - קרטון 1)ק""ג(",8231520,31
"",,2.80 ₪,כוסברה יחידה,8230525,32
"",מוגבל,15.90 ₪,כורכום טרי  ארוז כ200גר',8230005,33
"",,2.90 ₪,כרוב אדום אורגני,8130050,34
"",,3.30 ₪,כרוב לבן אורגני,8130051,35
"הערות",,מחיר,תיאור,קוד פריט,"#"
"",,3.90 ₪,כרובית  אורגני,8130052,36
"",,9.40 ₪,"לוף אורגני יפה וגדול לק""ג",8130056,37
"",,8.40 ₪,לימון אורגני - חדש ויפה!!,8131020,38
"",מוגבל,7.90 ₪,מלון  אננס )הדסון-(חדש ערבה,8131023,39
"",,7.90 ₪,מלון פרלינה  )כתום( אורגני,8131022,40
"",,5.90 ₪,מלפפון בייבי ארוז)יח(,8230061,41
"",,5.50 ₪,מלפפון חממה אורגני,8130060,42
"",,3.90 ₪,מרווה יחידה,8131527,43
"",מוגבל,26.90 ₪,"נענע - קרטון 1)ק""ג(",8231531,44
"",מוגבל,2.80 ₪,נענע יחידה,8230533,45
"",,8.90 ₪,סליקורניה לא אורגני,8230563,46
"",,4.40 ₪,סלק אדום,8130065,47
"",,4.20 ₪,סלרי עלים אורגני,8231540,48
"",,7.20 ₪,עגבנית אשכולות אורגנית - ייצוא!,8130523,49
"",,3.90 ₪,עלי מנגולד אדום אורגני,8231525,50
"",,3.30 ₪,עלי מנגולד ירוק אורגני,8231526,51
"",,3.90 ₪,עשב לימון יחידה,8131506,52
"",,7.90 ₪,פול חדש,8130070,53
"",,4.90 ₪,פומלית אורגני  יצוא EL,8131052,54
"",,26.90 ₪,"פטרוזיליה - קרטון 1)ק""ג(",8231560,55
"",,2.80 ₪,פטרוזיליה  יחידה,8230561,56
"",,7.70 ₪,פטרוזיליה שורש אורגני,8231562,57
"",,5.90 ₪,"פלפל ""סוויט בייט""  )יח(",8230103,58
"",,8.90 ₪,פלפל אדום אורגני,8130530,59
"",,8.40 ₪,פלפל כתום אורגני,8130534,60
"",,4.90 ₪,פלפל צ'ילי חריף ארוז אורגני,8230540,61
"",,8.40 ₪,פלפל צהוב אורגני,8130533,62
"",,8.90 ₪,פלפל רמירו אדום  תפזורת,8130532,63
"",מבצע!!,7.90 ₪,פפאיה אורגנית,8131056,64
"",מוגבל,5.90 ₪,צנון לבן ארוז )יח(,8230045,65
"",,5.90 ₪,צנון שחור ארוז)יח(,8130043,66
"",מוגבל,5.40 ₪,קולורבי  אורגני - חדש ויפה,8130075,67
"",,3.90 ₪,קייל  אורגני,8231566,68
"",,6.90 ₪,קישוא בהיר  אורגני,8130551,69
"",,6.90 ₪,קישוא כהה - זוקיני  אורגני,8130552,70
"הערות",,מחיר,תיאור,קוד פריט,"#"
"",,6.90 ₪,קישוא עגול אורגני  3- צבעים!!!,8130550,71
"",,7.90 ₪,קלמנטינה אור אורגנית,8131064,72
"",,3.90 ₪,רוזמרין יחידה,8131528,73
"",מדהים!!!!,20.90 ₪,שום יבש  טרי )לח( לק''ג,8130560,74
"",,4.90 ₪,שומר אורגני,8130080,75
"",,27.90 ₪,"שמיר - קרטון 1)ק""ג(",8231570,76
"",,2.80 ₪,שמיר יחידה,8230571,77
"",,7.90 ₪,"שרי אשכולות לק""ג - חדש!!",8130522,78
"",מוגבל,16.90 ₪,"שרי בלינדה  אשכולות לפי ק""ג",8130521,79
"",מוגבל,5.90 ₪,שרי ליקופן )יובל( ארוז  500- גר,8130525,80
"",,5.90 ₪,שרי צהוב ארוז,8230101,81
"",,5.50 ₪,שרי תמר - ארוז )יח(  יפות!!!,8230102,82
"",,6.40 ₪,תות שדה אורגני  250- גרם,8231082,83
"",מוגבל,5.40 ₪,תפוז ולנסיה,8131084,84
"",,5.70 ₪,תפוח אדמה אורגני - עונה חדשה!!,8130094,85
"",,15.50 ₪,תפוח עץ מוזהב - יבוא חדש!,8131095,86
"",,15.90 ₪,תפוח עץ ניקוטר - יבוא,8131103,87
"",חדש ויפה!!,17.40 ₪,תפוח עץ פינק ליידי - ייבוא - חדש!!,8131100,88
"",,7.40 ₪,תת קבוצה  ארוז בצל אורגני (6),8230078,89
"",,7.40 ₪,תת קבוצה  ארוז גזר אורגני (4),8230077,90
"",,7.60 ₪,תת קבוצה  ארוז לימון אורגני (7),8131019,91
"",,7.40 ₪,תת קבוצה אבוקדו ארוז (8),8230500,92
"",,7.90 ₪,תת קבוצה מלפפון ארוז אורגני (8),8230060,93
"",,8.00 ₪,תת קבוצה מלפפון מיני אורגני(10),8230100,94
"",,5.90 ₪,תת קבוצה עגבניה ארוזה אורגני (8),8230532,95
"",,8.00 ₪,תת קבוצה עגבנית שרי  500 גרם אורגנית (8),8230548,96
"",,5.50 ₪,תת קבוצה פלפל ארוז אורגני (5),8230542,97
