קוד פריט,תיאור פריט,מחיר,קרטון,יחידות,הערות 
8240504,**בייגלה כוסמין,8.9,,,
8240500,**חלה מתוקה כוסמין,8.6,,,
8240501,**לחם דגנים קל,8.9,,,
8240516,**לחם כוסמין טרי,8.9,,,
8240503,**לחם כוסמין מלא,8.9,,,
8240515,**לחם שיפון טרי,8.9,,,
8240507,**לחם שיפון מועשר,8.9,,,
8240505,**לחם שיפון מלא,8.9,,,
8240506,**לחם שיפון קל,8.9,,,
8240508,**לחמניות כוסמין,8.9,,,
8240509,**פיתה חיטה מלאה,5.9,,,
8240502,**פיתה כוסמין,5.9,,,
8240510,**פיתה מיני חיטה,8.15,,,
8240511,**פיתה מיני כוסמין,8.15,,,
8250500,*ביצי חופש אורגניות,15.76,,,
8256005,*תמר דרי 5 קג,84.9,,,
8255502,*תמר חלאווי 1 קג,20.9,,,
8256002,*תמר חלאווי 5 קג,79.9,,,
8255010,*תמר חלוואי 400 גרם(24),8.4,,,
8256506,*תמר מגהול 1 קג,22.9,,,
8256509,*תמר מגהול 2 קג,21.9,,,
8256512,"*תמר מגהול 5 ק""ג class 1",134.5,,,
8256503,*תמר מגהול אורגני 500 גרם(16),12.9,,,
8130500,אבוקדו  אטינגר אורגני,14.9,,,
8131001,אגסים אורגניים,18.9,,,
8131003,אפרסמון  אורגני - חדש! בית אריזה!!,20.9,,,חדש!!
8231505,בזיליקום-קרטון(1ק''ג),35.9,,,
8130010,בטטה  גודל L1-L2 עונה חדשה,5.4,,,
8130013,בטטה עלומים עונה חדשה גודל M,5.9,,,מוגבל ביותר!!
8130510,בצל אדום - מקומי חדש,7.25,,,
8130512,בצל יבש  ריברסייד אורגני חדש (גזית),6.25,,,
8131015,גויבה אורגני - חדשה!!,13.3,,,
8130021,גזר עלומים  אורגני (חדש),4.4,,,
8130037,דלעת טריפולי אורגנית - חדשה!!,3.5,,,
8230523,חסה ערבית אורגנית,5.25,,,
8130045,חציל אורגני,6.2,,,
8231520,"כוסברה - קרטון (1ק""ג)",35.9,,,
8131021,ליים אורגני,7.2,,,
8131020,לימון אורגני - חדש!!,5.75,,,חדש!!
8130060,מלפפון חממה אורגני,5.9,,,מחיר מיוחד!!
8131028,מנגו זן קיט,14.4,,,
8231531,"נענע - קרטון (1ק""ג)",29.9,,,
8130523,עגבניה אורגנית,8.9,,,
8231525,עלי מנגולד אדום אורגני,6.9,,,מוגבל!!
8231526,עלי מנגולד ירוק אורגני,6.9,,,מוגבל!!
8130071,פאקצאי,6.9,,,מוגבל!!
8131051,פומלה אדומה אורגני,8.8,,,חדש!!
8131052,פומלית אורגני,4.9,,,חדש!!
8231560,"פטרוזיליה - קרטון (1ק""ג)",30.9,,,
8230561,פטרוזיליה  יחידה,4.5,,,
8230103,"פלפל ""סוויט בייט""  (יח)",5.7,,,
8130530,פלפל אדום אורגני - יפה,11.9,,,
8230540,פלפל חריף ארוז אורגני,4.9,,,
8130534,פלפל כתום אורגני,12.9,,,חדש! מוגבל!!
8130533,פלפל צהוב אורגני,12.9,,,חדש! מוגבל!!
8131056,פפאיה אורגנית,11.9,,,
8131060,קובו,12.5,,,חדש!!
8231566,קייל  אורגני,5.7,,,
8130551,קישוא בהיר  אורגני,12.9,,,חדש!!
8130552,קישוא כהה - זוקיני  אורגני,12.9,,,חדש!!
8131071,רימון זן וונדרפול אורגני,5.9,,,חדש!!
8131070,רימונים אורגני - מבצע לחג!!,4.9,,,
8231570,"שמיר - קרטון (1ק""ג)",28.9,,,
8230571,שמיר יחידה,4.7,,,
8230570,שעועית הילדה  סלסלה,14.9,,,מוגבל!!
8130520,שרי ארוז בנספק (לבבות),13.9,,,חדש מוגבל!!
8230102,שרי לב אדום ארוז (רומניטה) -חדש!,13.9,,,חדש מוגבל!!
8130091,תירס תפזורת מתוק - חדש!!,9.9,,,
8131086,תפוז  טבורי אורגני,5.5,,,
8130092,תפוח אדמה אדום - חדש וטרי,7.9,,,
8130094,תפוח אדמה צהוב חדש טרי!!,4.8,,,
8131093,תפוח עץ גאלה  (יבוא ) חדש!!,18.9,,,
8131097,תפוח עץ גרנסמיט (בהסבה),12.9,,,
8231092,תפוח עץ ירוק מארז,12.9,,,
8131104,תפוח עץ מוזהב,13.9,,,
8131091,תפוח עץ פוגי,14.9,,,
8231581,תרד ארוז אורגני,5.9,,,
