מסד,שם,ספק,הצגה (1 לא להציג),מחיר,מחיר מבצע,יחידה,שם תמונה,קטגוריות
6,בטטה,יבולי בר,,15.9,0,יחידה וקילו,battata.jpg,ירקות
11,גזר,יבולי בר,,7.9,0,"ק""ג",מארז גזר.jpg,ירקות
19,חצילים,השף האורגני,,9.9,0,יחידה וקילו,hazilim.jpg,ירקות
26,מלפפון,יבולי בר,,16.9,0,יחידה וקילו,melfefon.jpg,ירקות
31,סלק,השף האורגני,,8.9,0,יחידה וקילו,selek.jpg,ירקות
34,עגבניה אשכולות,יבולי בר,,8.9,0,יחידה וקילו,agvania.jpg,ירקות
35,עגבניה שרי תמר,יבולי בר,,16.9,0,"ק""ג",תמונה חסרה לאתר.jpg,ירקות
556,עגבניה תמר / עגבניה סמדר,אבטליון,,9.9,0,יחידה וקילו,עגבנייה תמר (1).jpg,ירקות
49,פלפל אדום,יבולי בר,,18.9,0,יחידה וקילו,pilpel_adom.jpg,ירקות
51,פלפל סוויט בייט - מיני,יבולי בר,,9.9,0,יחידה,פלפל סוויט בייט.jpg,ירקות
311,דלעת ערמונים,השף האורגני,,14.9,14.9,יחידה וקילו,דלעת ערמונים.jpg,ירקות
56,קישוא זוקיני כהה,השף האורגני,,21.8,0,יחידה וקילו,kishou_zokini.jpg,ירקות
57,שום (מארז 250 גר'),השף האורגני,,15,0,יחידה,shom_yavesh.jpg,ירקות
61,תפוח אדמה עם בוץ,יבולי בר,,7.9,0,יחידה וקילו,tapoah_adama_bots.jpg,ירקות
358,תירס תפזורת,השף האורגני,,14.9,0,יחידה וקילו,tiras.jpg,ירקות
360,דלעת טריפולי (חתיכה),השף האורגני,,9.8,0,יחידה וקילו,bigstock-Pumpkin-36307498.jpg,ירקות
387,"ג'ינג'ר מחיר לק""ג",אבטליון,,36.9,0,יחידה,bigstock-Ginger-Root-1979090.jpg,ירקות
652,פלפל צהוב,,,17.9,0,"ק""ג",,ירקות
677,סלק בואקום,יבולי בר,,9.8,0,יחידה,,ירקות
432,תפוח אדמה אדום,יבולי בר,,11.9,9.9,יחידה וקילו,תפוח אדמה אדום.jpg,ירקות
215,בצל אדום,יבולי בר,,12.9,0,יחידה וקילו,bazal_sagol.JPG,ירקות
223,דלורית,יבולי בר,,8.9,8.9,יחידה וקילו,dalorit.JPG,ירקות
231,בצל יבש,יבולי בר,,7.5,0,יחידה וקילו,בצל לבן.jpg,ירקות
9,בצל ירוק - צרור,השף האורגני,,6.9,0,יחידה,bazal_yarok.jpg,"ירקות , ירק ועשבי תבלין"
24,כרישה (צרור),השף האורגני,,13.9,0,יחידה,krisha.jpg,"ירקות , ירק ועשבי תבלין"
32,סלרי עלים,השף האורגני,,11.9,0,יחידה,zirei_seleri.jpg,"ירקות , ירק ועשבי תבלין"
33,סלרי שורש,השף האורגני,,11.9,0,יחידה,seleri_shoresh.jpg,"ירקות , ירק ועשבי תבלין"
389,שורש זנגביל טרי / ג'ינג'ר (מחיר ל 100 גר'),השף האורגני,,3.9,2.9,יחידה,ג'ינג'ר.jpg,"ירקות , ירק ועשבי תבלין"
557,פטריות מלך היער 200 גרם,,,25.9,23.9,יחידה,פטריות מלך היער.jpg,"נבטים, פטריות וטופו , ירקות"
113,פטריות שיטאקי טריות - 250גרם,חוות השיטקי,,25.9,23.9,יחידה,פטריות שיטאקי.jpg,"נבטים, פטריות וטופו , ירקות"
5,בזיליקום,יבולי בר,,6.9,0,יחידה,bazilikom.jpg,ירק ועשבי תבלין
264,מרווה טרייה,השף האורגני,,6.5,0,יחידה,מרווה.jpg,ירק ועשבי תבלין
267,טימין טרי,השף האורגני,,6.5,0,יחידה,טימין.jpg,ירק ועשבי תבלין
20,כוסברה - צרור,השף האורגני,,6.9,0,יחידה,kosbara.jpg,ירק ועשבי תבלין
30,נענע - צרור,יבולי בר,,6.9,0,יחידה,nana.jpg,ירק ועשבי תבלין
46,פטרוזיליה - צרור,יבולי בר,,6.9,0,יחידה,petrozila.jpg,ירק ועשבי תבלין
60,שמיר - צרור,השף האורגני,,6.9,0,יחידה,shamir.jpg,ירק ועשבי תבלין
654,בדיקה,יבולי בר,,General,General,יחידה וקילו,avokado_has.jpg,פירות
17,לבבות חסה ערבית,השף האורגני,,14.9,0,יחידה,levavot_hasa.jpg,חסות עלים ונבטים
18,חסה ערבית,השף האורגני,,6.9,0,יחידה,hasa_aravit.jpg,חסות עלים ונבטים
41,עלי מנגולד,השף האורגני,,9.9,,יחידה,alei_mangold.jpg,חסות עלים ונבטים
42,עלי קייל,השף האורגני,,9.9,0,יחידה,קייל.jpg,חסות עלים ונבטים
45,עלי תרד ניו זילנדי,השף האורגני,,9.9,0,יחידה,תרד ניוזילנדי.png,חסות עלים ונבטים
295,אבוקדו האס,אבטליון,,42.9,0,יחידה וקילו,אבוקדו ריד.jpg,פירות
569,בננה,יבולי בר,,19.9,0,יחידה וקילו,בננה.jpg,פירות
64,לימון/ ליים,יבולי בר,,19.9,0,יחידה וקילו,limon.jpg,פירות
65,פפאיה,יבולי בר,,20.9,0,יחידה וקילו,papaia.jpg,פירות
67,תפוח עץ גאלה,יבולי בר,,29.9,0,יחידה וקילו,tapoah_gold.JPG,פירות
69,תפוח עץ ענה מרמת הגולן,יבולי בר,,21.9,0,יחידה וקילו,Pricez73417.jpg,פירות
71,מלון,השף האורגני,,13.9,0,מחיר קילו מכירה ביחידה,melon.jpg,פירות
73,תאנים טריות,,,21.9,0,יחידה,תאנים.jpg,פירות
74,ענבים ירוקים,,,29.9,0,יחידה וקילו,ענבים ירוקים.jpg,פירות
340,נקטרינה,יבולי בר,,29.9,0,יחידה וקילו,נקטרינה.jpg,פירות
651,ענבים אדומים,,,29.9,0,"ק""ג",,פירות
678,אננס טרי לא אורגני,,,19.9,0,יחידה,,פירות
679,אגס יפני,,,29.9,0,יחידה וקילו,,פירות
217,שזיף אדום,נאות סמדר,,28.9,0,יחידה וקילו,shezif.jpg,פירות
225,אבטיח,השף האורגני,,4.9,0,מחיר קילו מכירה ביחידה,8COkNqdVmJ.jpg,פירות
482,קובו,אבטליון,,20.9,0,יחידה וקילו,קובו.jpg,פירות
235,מנגו לילי,יבולי בר,,22.9,0,יחידה וקילו,מנגו טומי.jpg,פירות
491,גויאבה,אבטליון,,25.9,0,"ק""ג",,פירות
240,אגס,יבולי בר,,29.9,0,יחידה וקילו,bigstock-Ripe-Forelle-Pears-67788496.jpg,פירות
