מחיר,הערה,תאור פריט
14.9,,אבוקדו אטינגר
17.9,צובה,אגס
18.9,חדש!,אפרסמון
8.9,002 גרם,ארטישוק ירושלמי יחידה
5,,אשכולית אדומה
4.9,מארז 21 יח,בזיליקום-יחידה
6.9,,בטטה
6.9,יבוא. כ- 01 קג,בצל יבש(שק)
7.9,,בצל יבש-אדום
4.5,,בצל ירוק
14.5,,גויאבה
4.5,,גזר-אריזה
7.9,,דלורית
3.9,,דלעת
4.5,,חסה
6.9,,חסה לבבות
8.9,,חסה מיקס
8.9,,חסה סלנובה שני צבעים
4.9,,חסה עגולה
4.5,,טימין (קורנית)-יחידה
4.5,מארז 21 יח,כוסברה-יחידה
35,,כוסברה-קרטון
9.2,,כרוב לבן
12.9,,כרובית
5.9,,ליים
5.9,,לימון
7.9,,מורינגה עלים
5.9,,מלפפון
13.5,,מנגו קיט
4.5,,מרווה-יחידה
4.5,מארז 21 יח,נענע-יחידה
9.5,,סלק
6.4,,סלרי עלים
7.9,,סלרי שורש
9.5,,עגבנייה אשכולות
7.9,,עלי בייבי
6.4,,עלי מנגולד ירוק
8.5,אדומה,פומלה
5,,פומלית
30,,פטרוזיליה - קרטון
5,מארז 21 יח,פטרוזיליה יחידה
17,מלך היער 052 גרם,פטריה ארינגי-אריזה
18,052 גרם יפה מאד!!,פטרית שיטאקי-אריזה
13,,פלפל אדום
6,,פלפל חריף - יחידה
6,002 גרם,פלפל סוויט בייט-יחידה
14,,פפאיה
10,,קולרבי
6,,קייל
11,,קישוא כהה
5,,רוזמרין-יחידה
7,,רימון
5,מארז 21 יח,שמיר יחידה
35,,שמיר-קרטון
9,,שרי תמר-אריזה
14,,תאנים
10,,תירס תפזורת
26,"מארז 1 ק""ג",תמר מג'הול- איכותי
8,,תפוז
5,"קטן 1ק""ג טעים מאד",תפוח אדמה י.בר
5,52/81 קג,תפוח אדמה(שק)
16,יבוא. כ - 81 קג,תפוח עץ גאלה
16,תוצרת הארץ,תפוח עץ גרני סמיט
16,חדש!! מרמת הגולן,תפוח עץ זהוב
16,חדש!!! תוצרת הארץ,תפוח עץ סטרקינג
6,,תרד
